query,predict,frequency
in,the,3865
of,the,3783
to,the,2046
for,the,1890
on,the,1855
at,the,1336
and,the,1177
with,the,983
is,a,936
it,was,876
i,have,854
from,the,790
thank,you,770
going,to,742
will,be,728
if,you,716
have,a,680
one,of,680
as,a,677
want,to,645
this,is,610
that,i,567
by,the,540
the,first,511
all,the,508
was,a,494
you,can,488
out,of,481
but,i,479
be,a,454
when,i,433
a,few,428
need,to,426
about,the,417
would,be,415
has,been,403
thanks,for,402
more,than,400
we,are,397
he,was,397
you thank,you,389
thank you,thank,386
thank you thank,you,386
you thank you,thank,382
thank you thank you,thank,382
you thank you thank,you,382
thank you thank you thank,you,382
you thank you thank you,thank,379
thank you thank you thank you,thank,379
you thank you thank you thank,you,379
so,i,358
had,a,355
they,are,352
into,the,351
there,is,349
one of,the,330
do,you,329
over,the,326
are,you,306
like,a,303
trying,to,294
part,of,292
can,be,271
time,to,268
lot,of,262
go,to,261
able,to,259
back,to,258
up,to,257
it's,a,251
a lot,of,251
kind,of,242
some,of,239
what,i,238
should,be,235
right,now,234
according,to,226
way,to,220
i'm,not,218
thanks for,the,216
me,to,213
said,the,211
how,to,209
through,the,206
which,is,197
not,a,197
get,a,191
did,you,186
to be,a,183
love,you,175
don't,know,174
my,life,173
can't,wait,173
last,year,173
off,the,172
after,the,170
because,of,167
such,a,166
make,it,163
end,of,161
going to,be,159
wanted,to,157
let,me,156
looking,for,156
forward,to,155
she,was,153
around,the,153
i've,been,153
could,be,153
see,the,152
look,at,152
most,of,151
used,to,149
during,the,149
new,york,149
may,be,147
no,one,146
i want,to,146
know,what,145
been,a,140
people,who,137
who,is,135
now,i,135
it was,a,134
years,ago,133
got,a,131
check,out,131
well,as,128
i have,a,128
as well,as,127
take,a,125
them,to,125
before,the,125
the end,of,125
out of,the,125
follow,me,124
might,be,124
just,a,122
number,of,121
hard,to,121
try,to,121
couple,of,120
feel,like,120
went,to,119
come,to,117
decided,to,117
be able,to,117
talking,about,116
does,not,115
i don't,know,115
part of,the,115
rest,of,114
than,the,114
enough,to,114
first,time,113
wait,to,111
think,i,111
the rest,of,111
down,the,110
lots,of,110
looking forward,to,110
instead,of,109
you want,to,109
fact,that,108
must,be,107
too,much,106
a couple,of,106
this is,the,105
i'll,be,104
across,the,103
where,the,103
then,i,102
wants,to,102
even,though,102
ready,to,101
each,other,99
away,from,99
needs,to,99
there is,a,99
i love,you,99
the fact,that,99
listening,to,98
or,a,97
hope,you,97
some of,the,97
based,on,96
tried,to,96
along,with,95
us,to,95
the first,time,95
him,to,94
better,than,93
having,a,93
high,school,93
day,of,93
looks,like,92
am,i,92
you have,to,92
say,that,91
against,the,91
i need,to,91
tell,you,90
under,the,90
many,of,90
i'm going,to,90
is going,to,90
good,morning,89
it would,be,89
talk,about,87
due,to,87
full,of,85
lol,i,85
their,own,84
next,week,84
every,day,83
to go,to,83
top,of,82
any,of,82
for the,first,82
those,who,81
being,a,81
rather,than,80
seem,to,80
there's,a,80
what's,up,80
can't wait,to,80
in the,world,80
here,in,79
sort,of,78
made,it,78
less,than,78
st,louis,78
working,on,77
wish,i,76
while,the,75
end of,the,75
since,the,74
seems,to,74
according to,the,74
live,in,73
i had,to,73
all of,the,73
listen,to,72
side,of,72
excited,to,72
let me,know,72
of the,year,72
i think,i,72
bit,of,71
between,the,71
order,to,71
at the,end,71
i will,be,71
your,own,70
much,of,70
why,i,70
happy,birthday,70
chance,to,69
waiting,for,69
same,time,69
continue,to,69
gonna,be,69
to have,a,69
amount,of,68
today,i,68
his,own,68
united,states,68
supposed,to,68
only,one,68
it is,a,68
use,of,67
told,me,67
if you,want,67
when i,was,67
in order,to,67
find,a,66
become,a,66
lack,of,65
front,of,65
two,years,65
close,to,65
the same,time,65
is one,of,65
percent,of,64
an,hour,64
to see,the,64
comes,to,63
life,and,63
you need,to,63
the united,states,63
for the first,time,63
work,and,62
things,that,62
rt,i,62
go to,the,62
most of,the,62
want to,be,62
her,to,61
among,the,61
rest of,the,61
to make,a,61
back to,the,61
makes,me,60
little,bit,60
yes,i,60
that's,what,60
proud,of,60
don't want,to,60
friends,and,59
took,a,59
social,media,59
sense,of,59
to get,a,59
the rest of,the,59
keep,the,58
group,of,58
university,of,58
came,to,58
would have,been,58
until,the,57
starting,to,57
interested,in,57
there was,a,57
i am,so,57
to do,with,57
what's up,what's,57
