query,predict,frequency
in,the,3865
of,the,3783
to,the,2046
for,the,1890
on,the,1855
to,be,1571
at,the,1336
and,the,1177
in,a,1098
with,the,983
is,a,936
it,was,876
for,a,856
i,have,854
and,i,806
from,the,790
i,was,790
i,am,774
thank,you,770
with,a,759
it,is,754
is,the,742
going,to,742
of,a,729
will,be,728
if,you,716
have,a,680
one,of,680
as,a,677
to,get,674
want,to,645
this,is,610
have,to,567
that,i,567
to,do,565
that,the,562
and,a,559
by,the,540
i,think,535
i,don't,532
to,a,524
the,first,511
all,the,508
i,love,504
was,a,494
the,same,491
on,a,489
you,can,488
out,of,481
to,see,479
but,i,479
have,been,470
be,a,454
of,my,449
you,are,434
when,i,433
a,few,428
need,to,426
a,lot,423
about,the,417
would,be,415
to,make,412
i,had,411
you,have,408
i,can,403
has,been,403
thanks,for,402
a,great,401
i,just,400
in,my,400
more,than,400
we,are,397
he,was,397
you,thank,390
you thank,you,389
a,little,386
thank you,thank,386
thank you thank,you,386
i,know,384
you thank you,thank,382
thank you thank you,thank,382
you thank you thank,you,382
thank you thank you thank,you,382
the,best,380
a,good,380
you thank you thank you,thank,379
thank you thank you thank you,thank,379
you thank you thank you thank,you,379
to,have,377
to,go,374
as,the,366
that,is,359
so,i,358
i,will,357
had,a,355
they,are,352
into,the,351
there,is,349
we,have,334
he,said,331
is,not,330
the,world,330
one of,the,330
do,you,329
over,the,326
there,are,323
a,new,309
are,you,306
like,a,303
the,new,301
i,would,300
at,least,295
trying,to,294
the,most,294
you,know,293
part,of,292
so,much,291
if,i,290
on,my,286
when,you,286
and,then,282
all,of,280
as,well,276
but,the,275
at,a,272
can,be,271
the,last,271
the,way,270
time,to,268
i,can't,267
i,want,266
lot,of,262
go,to,261
is,that,260
able,to,259
the,other,259
back,to,258
for,me,257
up,to,257
was,the,253
it's,a,251
a lot,of,251
to,my,250
the,next,244
kind,of,242
of,his,241
i,could,240
to,me,240
some,of,239
that,you,239
what,i,238
the,only,238
in,this,237
the,time,237
should,be,235
he,is,235
and,it,234
right,now,234
has,a,233
according,to,226
had,to,225
to,take,225
that,was,225
that,he,222
way,to,220
i,need,219
when,the,218
i'm,not,218
of,our,217
with,my,216
thanks for,the,216
but,it,215
would,have,214
the,day,213
me,to,213
of,this,213
i,got,212
said,the,211
for,you,210
how,to,209
in,his,207
through,the,206
it,would,205
to,say,202
this,year,201
to,you,201
like,the,200
that,we,199
be,the,199
of,course,198
the,end,198
which,is,197
not,a,197
they,were,196
a,bit,195
for,my,194
as,i,193
and,we,193
we,were,192
get,a,191
are,the,191
it,to,191
you,want,190
and,that,190
that,it,187
this,week,187
i,do,186
did,you,186
from,a,184
to be,a,183
to,help,182
said,he,181
have,the,180
out,the,179
and,you,179
up,the,178
like,to,178
up,and,178
i,thought,177
not,to,176
there,was,176
of,their,175
love,you,175
into,a,174
don't,know,174
my,life,173
can't,wait,173
last,year,173
off,the,172
up,with,172
you,will,170
after,the,170
i,hope,169
it,will,168
to,work,168
they,have,167
you,to,167
because,of,167
to,find,166
in,your,166
such,a,166
of,you,165
he,has,164
me,and,164
i,feel,164
we,can,163
make,it,163
it's,not,162
i,like,162
to,keep,162
that,they,162
a,very,162
you,don't,162
the,state,161
end,of,161
me,i,161
had,been,161
i,did,161
the,past,160
is,it,160
do,it,159
of,them,159
going to,be,159
last,night,158
is,to,158
a,couple,157
wanted,to,157
about,it,156
and,they,156
to,come,156
not,the,156
let,me,156
looking,for,156
i,didn't,155
it,and,155
if,the,155
forward,to,155
it,i,154
she,was,153
around,the,153
i've,been,153
could,be,153
get,to,153
such,as,152
see,the,152
look,at,152
most,of,151
by,a,151
of,your,150
the,game,150
up,in,149
don't,have,149
used,to,149
during,the,149
new,york,149
the,right,148
what,you,148
may,be,147
and,he,147
i,get,146
a,year,146
no,one,146
i want,to,146
see,you,145
what,is,145
know,what,145
the,city,145
in,our,144
to,know,144
of,it,144
is,in,144
and,my,143
make,a,143
in,an,143
out,to,143
of,all,143
are,not,142
i,really,141
get,the,141
you,and,140
been,a,140
me,a,140
time,i,140
for,this,139
in,and,139
be,in,139
did,not,138
because,i,138
to,use,138
of,those,138
on,your,138
for,your,137
people,who,137
the,house,137
to,play,137
you,for,136
who,is,135
the,rest,135
now,i,135
do,not,135
is,going,135
a,big,134
it was,a,134
years,ago,133
she,said,133
and,to,133
